x,y
325,515
325,511.333251953125
325,507.6664733886719
325,503.99969482421875
325,500.33294677734375
325,496.6661682128906
325,492.9993896484375
325,489.3326416015625
325,485.6658630371094
325,481.9991149902344
325,478.33233642578125
325,474.66558837890625
325,470.9988098144531
325,467.33203125
325,463.665283203125
325,459.9985046386719
325,456.33172607421875
325,452.66497802734375
325,448.9981994628906
325,445.3314514160156
325,441.6646728515625
326.0020751953125,439
329.6688537597656,439
333.33563232421875,439
337.00238037109375,439
340.6691589355469,439
344.3359375,439
348.002685546875,439
351.66943359375,439
355.3362121582031,439
359.00299072265625,439
362.66973876953125,439
366.3365173339844,439
370.0032958984375,439
373.6700439453125,439
377.3367919921875,439
381.00360107421875,439
384.67034912109375,439
388.33709716796875,439
392.0038757324219,439
395.670654296875,439
399.33740234375,439
403.0041809082031,439
406.67095947265625,439
410.33770751953125,439
414.00445556640625,439
417.66668701171875,438.8533935546875
421.2939453125,438.3279113769531
424.85028076171875,437.4408874511719
428.3070983886719,436.2219543457031
431.643310546875,434.70318603515625
434.8443603515625,432.9167175292969
437.9013366699219,430.8933410644531
440.80877685546875,428.6602478027344
443.5636901855469,426.2413330078125
446.1644592285156,423.6573791503906
448.6095886230469,420.9255676269531
450.897705078125,418.0609130859375
453.0267028808594,415.07611083984375
454.9934997558594,411.9819641113281
456.79364013671875,408.78802490234375
458.4212646484375,405.5027770996094
459.8682556152344,402.1341247558594
461.1243896484375,398.68975830078125
462.17706298828125,395.177978515625
463.01031494140625,391.6077880859375
463.60479736328125,387.99029541015625
463.9376220703125,384.33953857421875
463.98162841796875,380.67413330078125
463.70458984375,377.01922607421875
463.0920104980469,373.4051818847656
462.19342041015625,369.85107421875
461.0516357421875,366.3672790527344
459.6975402832031,362.9602966308594
458.1536865234375,359.6348571777344
456.4366149902344,356.39544677734375
454.5580749511719,353.2469177246094
452.52593994140625,350.1951904296875
450.3457336425781,347.24749755859375
448.0204162597656,344.412841796875
445.55078125,341.7030944824219
442.9366455078125,339.1325378417969
440.17645263671875,336.7195739746094
437.26837158203125,334.4873352050781
434.2109680175781,332.4646301269531
431.004638671875,330.6878967285156
427.6546325683594,329.200439453125
424.1736755371094,328.0535888671875
420.58673095703125,327.30316162109375
416.934814453125,327.0038146972656
413.26812744140625,327
409.6013488769531,327
405.9346008300781,327
402.267822265625,327
398.6010437011719,327
394.9342956542969,327
391.26751708984375,327
387.60076904296875,327
383.9339904785156,327
380.2672119140625,327
376.6004638671875,327
372.9336853027344,327
369.2669372558594,327
365.60015869140625,327
361.9333801269531,327
358.2666320800781,327
354.599853515625,327
350.93310546875,327
347.2663269042969,327
343.59954833984375,327
339.93280029296875,327
336.2660217285156,327
332.5992736816406,327
328.9324951171875,327
325.6272277832031,326.1272277832031
325,322.72027587890625
325,319.0534973144531
325,315.3867492675781
325,311.719970703125
325,308.05322265625
325,304.3864440917969
325,300.71966552734375
325,297.05291748046875
325,293.3861389160156
325,289.7193908691406
325,286.0526123046875
325,282.3858337402344
325,278.7190856933594
325,275.05230712890625
325,271.38555908203125
325,267.7187805175781
325,264.052001953125
325,260.38525390625
325,256.7184753417969
325,253.05172729492188
326.61505126953125,251
330.2818298339844,251
333.9485778808594,251
337.6153564453125,251
341.2821044921875,251
344.9488525390625,251
348.61566162109375,251
352.28240966796875,251
355.94915771484375,251
359.615966796875,251
363.28271484375,251
366.949462890625,251
370.61627197265625,251
374.28302001953125,251
377.94976806640625,251
381.61651611328125,251
385.2833251953125,251
388.9500732421875,251
392.6168212890625,251
396.28363037109375,251
399.94488525390625,250.83197021484375
403.5695495605469,250.2889404296875
407.12109375,249.3832244873047
410.5681457519531,248.13699340820312
413.8856201171875,246.57806396484375
417.0550537109375,244.73643493652344
420.0636291503906,242.64198303222656
422.90264892578125,240.32278442382812
425.56640625,237.8040771484375
428.0513610839844,235.10861206054688
430.3542785644531,232.256103515625
432.47198486328125,229.26344299316406
434.4011535644531,226.14590454101562
436.1368713378906,222.9166259765625
437.67352294921875,219.5879669189453
439.00262451171875,216.1712646484375
440.1149597167969,212.6779327392578
440.9979553222656,209.11978149414062
441.6367492675781,205.5098419189453
442.01422119140625,201.86337280273438
442.1104431152344,198.1988525390625
441.8981628417969,194.5395965576172
441.298583984375,190.92393493652344
440.358154296875,187.3809814453125
439.14111328125,183.92300415039062
437.69036865234375,180.55612182617188
436.0354919433594,177.2845916748047
434.1966857910156,174.1127471923828
432.1870422363281,171.04638671875
430.0147399902344,168.09292602539062
427.6842041015625,165.2626495361328
425.19659423828125,162.5694580078125
422.55078125,160.03175354003906
419.7430725097656,157.6744384765625
416.76983642578125,155.5302276611328
413.6275939941406,153.64279174804688
410.3172912597656,152.06964111328125
406.8501892089844,150.88357543945312
403.2567138671875,150.1707305908203
399.59698486328125,150.00001525878906
395.93017578125,150.00001525878906
392.263427734375,150.00001525878906
388.5966796875,150.00001525878906
384.92987060546875,150.00001525878906
381.26312255859375,150.00001525878906
377.59637451171875,150.00001525878906
373.92962646484375,150.00001525878906
370.2628173828125,150.00001525878906
366.5960693359375,150.00001525878906
362.9293212890625,150.00001525878906
359.26251220703125,150.00001525878906
355.59576416015625,150.00001525878906
351.92901611328125,150.00001525878906
348.26220703125,150
344.595458984375,150
340.9287109375,150
337.261962890625,150
333.59515380859375,150
329.92840576171875,150
326.26165771484375,150
322.5948486328125,150
318.9281005859375,150
315.2613525390625,150
311.59454345703125,150
307.92779541015625,150
304.26104736328125,150
300.59429931640625,150
296.927490234375,150
293.2607421875,150
289.593994140625,150
285.92718505859375,150
282.26043701171875,150
278.59368896484375,150
274.92694091796875,150
271.2601318359375,150
267.5933837890625,150
263.9266357421875,150
261.0000305175781,150.74017333984375
261.0000305175781,154.40692138671875
261.0000305175781,158.07366943359375
261.0000305175781,161.740478515625
261.0000305175781,165.4072265625
261.0000305175781,169.073974609375
261.0000305175781,172.74072265625
261.0000305175781,176.40753173828125
261.0000305175781,180.07427978515625
261.0000305175781,183.74102783203125
261.0000305175781,187.4078369140625
261.0000305175781,191.0745849609375
261.0000305175781,194.7413330078125
261,198.40814208984375
261,202.07489013671875
261,205.74163818359375
261,209.40838623046875
261,213.0751953125
261,216.741943359375
261,220.40869140625
261,224.07550048828125
261,227.74224853515625
261,231.40899658203125
261,235.07574462890625
261,238.7425537109375
261,242.4093017578125
261,246.0760498046875
261,249.74285888671875
261,253.40960693359375
261,257.07635498046875
261,260.7431640625
261,264.409912109375
261,268.07666015625
261,271.743408203125
261,275.41021728515625
261,279.07696533203125
261,282.74371337890625
261,286.4105224609375
261,290.0772705078125
261,293.7440185546875
261,297.41082763671875
261,301.07757568359375
261,304.74432373046875
261,308.41107177734375
261,312.077880859375
261,315.74462890625
261,319.411376953125
261,323.07818603515625
261,326.744873046875
261,330.4117431640625
261,334.0784912109375
261,337.7452392578125
261,341.4119873046875
261,345.0787353515625
261,348.7454833984375
261,352.4122314453125
261,356.0791015625
261,359.745849609375
261,363.41259765625
261,367.079345703125
261,370.74609375
261,374.412841796875
261,378.0797119140625
261,381.7464599609375
261,385.4132080078125
261,389.0799560546875
261,392.7467041015625
261,396.4134521484375
261,400.0802001953125
261,403.7470703125
261,407.413818359375
261,411.08056640625
261,414.747314453125
261,418.4140625
261,422.080810546875
261,425.74755859375
261,429.4144287109375
261,433.0811767578125
261,436.7479248046875
261,440.4146728515625
261,444.0814208984375
261,447.7481689453125
261,451.4149169921875
261,455.081787109375
261,458.74853515625
261,462.415283203125
261,466.08203125
261,469.748779296875
261,473.41552734375
261,477.0823974609375
261,480.7491455078125
261,484.4158935546875
261,488.0826416015625
261,491.7493896484375
261,495.4161376953125
261,499.0828857421875
261,502.749755859375
261,506.41650390625
261,510.083251953125
261,513.75
261,517.416748046875
261,521.08349609375
261,524.750244140625
261,528.4171142578125
261,532.0838623046875
261,535.7506103515625
261,539.4173583984375
261,543.0841064453125
261,546.7508544921875
264.4176025390625,547
268.08447265625,547
271.751220703125,547
275.41796875,547
279.084716796875,547
282.75146484375,547
286.418212890625,547
290.0850830078125,547
293.7518310546875,547
297.4185791015625,547
301.0853271484375,547
304.7520751953125,547
308.4188232421875,547
312.0855712890625,547
315.75244140625,547
319.419189453125,547
323.0859375,547
326.752685546875,547
330.41943359375,547
334.086181640625,547
337.7529296875,547
341.4197998046875,547
345.0865478515625,547
348.7532958984375,547
352.4200439453125,547
356.0867919921875,547
359.7535400390625,547
363.4202880859375,547
367.087158203125,547
370.75390625,547
374.420654296875,547
378.08740234375,547
381.754150390625,547
385.4208984375,547
389.0877685546875,547
392.7545166015625,547
396.4212646484375,547
400.0880126953125,547
403.7547607421875,547
407.4215087890625,547
411.0882568359375,547
414.755126953125,547
418.421875,547
422.088623046875,547
425.75537109375,547
429.422119140625,547
433.0888671875,547
436.755615234375,547
440.4224853515625,547
444.0892333984375,547
447.7559814453125,547
451.4227294921875,547
